order_id,channel,customer_id,location_id,status,total,placed_at,location_name,state,person_type,legal_name,order_item_id,product_variant_id,quantity,unit_price,line_total,product_id,cost_price,product_name,brand_id,category_id,brand_name,category_name,data,ano,ano_mes,dia_semana
1,ecommerce,1136,1,True,287.77,2022-09-06,Loja Leão,PR,PF,Ana Lima,1,113,6,53.89,323.34,59,25.91,Bateria Náutica 8789,11,3,Br Náutica,Coletes Salva-Vidas,2022-09-06,2022,2022-09,Terça-Feira
2,ecommerce,618,4,True,53199.05,2023-02-03,Armazém Novaes,PI,PJ,Garcia Siqueira S/A Me,2,293,9,2398.41,21585.69,146,1609.67,Cabo Náutico 7323,6,2,Raymarine,Cabos,2023-02-03,2023,2023-02,Sexta-Feira
2,ecommerce,618,4,True,53199.05,2023-02-03,Armazém Novaes,PI,PJ,Garcia Siqueira S/A Me,3,366,2,2697.71,5395.42,180,1226.23,Motor De Popa 1949,7,13,Lowrance,Segurança,2023-02-03,2023,2023-02,Sexta-Feira
2,ecommerce,618,4,True,53199.05,2023-02-03,Armazém Novaes,PI,PJ,Garcia Siqueira S/A Me,4,561,1,3757.73,3757.73,275,1833.04,Cabo Náutico 5921,2,12,Mercury Marine,Manutenção,2023-02-03,2023,2023-02,Sexta-Feira
2,ecommerce,618,4,True,53199.05,2023-02-03,Armazém Novaes,PI,PJ,Garcia Siqueira S/A Me,5,385,5,849.69,4248.45,190,562.71,Gps Plotter 3107,9,4,Volvo Penta,Motores,2023-02-03,2023,2023-02,Sexta-Feira
2,ecommerce,618,4,True,53199.05,2023-02-03,Armazém Novaes,PI,PJ,Garcia Siqueira S/A Me,6,180,7,2601.68,18211.76,88,1461.62,Tinta Antifouling 6853,3,8,Suzuki Marine,Hélices,2023-02-03,2023,2023-02,Sexta-Feira
4,ecommerce,1123,3,True,10429.88,2024-03-12,Armazém Siqueira,AP,PF,Maitê Caldeira,10,52,2,585.8,1171.6,27,334.74,Colete Salva-Vidas 7001,3,6,Suzuki Marine,Velas,2024-03-12,2024,2024-03,Terça-Feira
4,ecommerce,1123,3,True,10429.88,2024-03-12,Armazém Siqueira,AP,PF,Maitê Caldeira,12,402,2,1676.19,3352.38,198,980.23,Hélice De Alumínio 8067,7,1,Lowrance,Equipamentos,2024-03-12,2024,2024-03,Terça-Feira
6,ecommerce,117,1,True,52683.82,2026-08-28,Loja Leão,PR,PF,Maria Clara Sá,16,253,6,3083.67,18502.02,126,1519.05,Hélice De Alumínio 9713,12,10,Marisul,Iluminação,2026-08-28,2026,2026-08,Sexta-Feira
6,ecommerce,117,1,True,52683.82,2026-08-28,Loja Leão,PR,PF,Maria Clara Sá,17,790,3,3901.4,11704.2,388,1990.51,Cabo Náutico 8945,4,10,Honda Marine,Iluminação,2026-08-28,2026,2026-08,Sexta-Feira
6,ecommerce,117,1,True,52683.82,2026-08-28,Loja Leão,PR,PF,Maria Clara Sá,18,911,8,1711.49,13691.92,451,882.21,Cabo Náutico 5416,11,13,Br Náutica,Segurança,2026-08-28,2026,2026-08,Sexta-Feira
6,ecommerce,117,1,True,52683.82,2026-08-28,Loja Leão,PR,PF,Maria Clara Sá,19,744,3,2928.56,8785.68,366,1626.98,Bússola De Bordo 1762,9,6,Volvo Penta,Velas,2026-08-28,2026,2026-08,Sexta-Feira
7,ecommerce,489,1,True,57270.24,2026-10-29,Loja Leão,PR,PF,Sr. Nicolas Camargo,20,631,9,2538.86,22849.74,308,1908.92,Motor De Popa 1540,7,9,Lowrance,Acessórios De Convés,2026-10-29,2026,2026-10,Quinta-Feira
7,ecommerce,489,1,True,57270.24,2026-10-29,Loja Leão,PR,PF,Sr. Nicolas Camargo,21,423,4,259.1,1036.4,210,161.94,Motor De Popa 000000,11,1,Br Náutica,Equipamentos,2026-10-29,2026,2026-10,Quinta-Feira
7,ecommerce,489,1,True,57270.24,2026-10-29,Loja Leão,PR,PF,Sr. Nicolas Camargo,22,603,8,2282.68,18261.44,295,1201.41,Cabo Náutico 2105,7,8,Lowrance,Hélices,2026-10-29,2026,2026-10,Quinta-Feira
7,ecommerce,489,1,True,57270.24,2026-10-29,Loja Leão,PR,PF,Sr. Nicolas Camargo,23,939,7,1430.53,10013.71,465,1014.56,Defensa Náutica 792,4,5,Honda Marine,Eletrônica Náutica,2026-10-29,2026,2026-10,Quinta-Feira
7,ecommerce,489,1,True,57270.24,2026-10-29,Loja Leão,PR,PF,Sr. Nicolas Camargo,24,954,7,729.85,5108.95,473,540.63,Motor De Popa 8491,6,3,Raymarine,Coletes Salva-Vidas,2026-10-29,2026,2026-10,Quinta-Feira
11,ecommerce,869,4,True,11680.74,2026-04-17,Armazém Novaes,PI,PJ,Duarte Me,30,554,3,1121.67,3365.01,272,606.31,Cabo Náutico 4571,5,11,Garmin,Pintura Marítima,2026-04-17,2026,2026-04,Sexta-Feira
11,ecommerce,869,4,True,11680.74,2026-04-17,Armazém Novaes,PI,PJ,Duarte Me,31,713,3,2771.91,8315.73,350,1259.96,Motor De Popa 1007,10,14,Maxsea,Pesca,2026-04-17,2026,2026-04,Sexta-Feira
13,ecommerce,937,4,True,12208.7,2021-05-19,Armazém Novaes,PI,PF,Júlia Nunes,37,903,3,2783.63,8350.89,446,1572.67,Vela Mestra 2993,6,3,Raymarine,Coletes Salva-Vidas,2021-05-19,2021,2021-05,Quarta-Feira
13,ecommerce,937,4,True,12208.7,2021-05-19,Armazém Novaes,PI,PF,Júlia Nunes,38,173,2,1352.38,2704.76,84,634.92,Defensa Náutica 656,7,14,Lowrance,Pesca,2021-05-19,2021,2021-05,Quarta-Feira
13,ecommerce,937,4,True,12208.7,2021-05-19,Armazém Novaes,PI,PF,Júlia Nunes,39,361,1,1153.05,1153.05,178,674.3,Cabo Náutico 6215,10,3,Maxsea,Coletes Salva-Vidas,2021-05-19,2021,2021-05,Quarta-Feira
14,pos,1055,4,True,33165.28,2023-02-27,Armazém Novaes,PI,PF,Enrico Porto,40,203,6,1640.39,9842.34,99,781.14,Âncora Bruce 2417,1,5,Yamaha Marine,Eletrônica Náutica,2023-02-27,2023,2023-02,Segunda-Feira
14,pos,1055,4,True,33165.28,2023-02-27,Armazém Novaes,PI,PF,Enrico Porto,41,593,1,2583.58,2583.58,291,1304.84,Gps Plotter 4422,4,8,Honda Marine,Hélices,2023-02-27,2023,2023-02,Segunda-Feira
14,pos,1055,4,True,33165.28,2023-02-27,Armazém Novaes,PI,PF,Enrico Porto,42,900,3,1485.46,4456.38,444,1031.57,Hélice De Alumínio 4479,3,5,Suzuki Marine,Eletrônica Náutica,2023-02-27,2023,2023-02,Segunda-Feira
14,pos,1055,4,True,33165.28,2023-02-27,Armazém Novaes,PI,PF,Enrico Porto,43,529,3,1891.34,5674.02,260,1220.22,Cliente Genérico,2,10,Mercury Marine,Iluminação,2023-02-27,2023,2023-02,Segunda-Feira
14,pos,1055,4,True,33165.28,2023-02-27,Armazém Novaes,PI,PF,Enrico Porto,44,846,8,1326.12,10608.96,419,844.66,Defensa Náutica 9143,7,1,Lowrance,Equipamentos,2023-02-27,2023,2023-02,Segunda-Feira
16,ecommerce,586,6,True,36122.08,2020-06-09,Loja Mendonça,PI,PJ,Martins Ltda,50,957,7,1915.6,13409.2,474,1052.53,Tinta Antifouling 8791,4,12,Honda Marine,Manutenção,2020-06-09,2020,2020-06,Terça-Feira
16,ecommerce,586,6,True,36122.08,2020-06-09,Loja Mendonça,PI,PJ,Martins Ltda,51,922,8,2839.11,22712.88,456,1808.35,Colete Salva-Vidas 2374,4,13,Honda Marine,Segurança,2020-06-09,2020,2020-06,Terça-Feira
18,pos,1810,3,True,50483.19,2022-02-28,Armazém Siqueira,AP,PJ,Souza Ltda,56,318,4,1067.79,4271.16,158,667.37,Vela Mestra 8056,7,10,Lowrance,Iluminação,2022-02-28,2022,2022-02,Segunda-Feira
18,pos,1810,3,True,50483.19,2022-02-28,Armazém Siqueira,AP,PJ,Souza Ltda,57,977,10,2124.36,21243.6,483,1562.03,Defensa Náutica 9695,2,10,Mercury Marine,Iluminação,2022-02-28,2022,2022-02,Segunda-Feira
18,pos,1810,3,True,50483.19,2022-02-28,Armazém Siqueira,AP,PJ,Souza Ltda,58,474,8,2758.2,22065.6,234,1523.87,Defensa Náutica 417,3,3,Suzuki Marine,Coletes Salva-Vidas,2022-02-28,2022,2022-02,Segunda-Feira
19,ecommerce,152,5,True,14084.9,2025-05-22,Loja Oliveira,AL,PJ,Teixeira Me,60,992,1,1149.14,1149.14,492,781.73,Bateria Náutica 4361,5,11,Garmin,Pintura Marítima,2025-05-22,2025,2025-05,Quinta-Feira
19,ecommerce,152,5,True,14084.9,2025-05-22,Loja Oliveira,AL,PJ,Teixeira Me,61,340,5,1119.77,5598.85,169,674.56,Hélice De Alumínio 1674,1,2,Yamaha Marine,Cabos,2025-05-22,2025,2025-05,Quinta-Feira
19,ecommerce,152,5,True,14084.9,2025-05-22,Loja Oliveira,AL,PJ,Teixeira Me,62,302,1,2557.48,2557.48,151,1588.5,Hélice De Alumínio 7225,2,8,Mercury Marine,Hélices,2025-05-22,2025,2025-05,Quinta-Feira
19,ecommerce,152,5,True,14084.9,2025-05-22,Loja Oliveira,AL,PJ,Teixeira Me,63,432,8,884.04,7072.32,215,636.0,Âncora Bruce 3775,9,2,Volvo Penta,Cabos,2025-05-22,2025,2025-05,Quinta-Feira
20,ecommerce,283,2,True,9066.23,2020-02-22,Armazém Camargo,PR,PF,Valentim Da Paz,64,794,5,1970.92,9854.6,389,920.99,Motor De Popa 5331,12,8,Marisul,Hélices,2020-02-22,2020,2020-02,Sábado
21,ecommerce,350,1,True,11731.56,2026-12-28,Loja Leão,PR,PF,Apollo Martins,65,884,6,1955.26,11731.56,438,977.63,Colete Salva-Vidas 2217,12,12,Marisul,Manutenção,2026-12-28,2026,2026-12,Segunda-Feira
23,pos,264,6,True,16056.25,2023-09-14,Loja Mendonça,PI,PJ,Rocha Siqueira Ltda.,71,108,7,1501.07,10507.49,57,829.32,Vela Mestra 6445,11,1,Br Náutica,Equipamentos,2023-09-14,2023,2023-09,Quinta-Feira
