customer_id,person_type,legal_name,trade_name,tax_id,state_registration,email,phone,customer_is_active,customer_created_at,customer_updated_at
1,PJ,Alves e Filhos S.A.,da Cruz,11713629000103,321819600,alves.e.filhos.s.a.1@example.com,5533989083863,True,2023-03-31 02:40:24,2026-02-06 22:34:19
2,PF,Lara Abreu,nan,72890168662,nan,lara.abreu.2@example.com,55065942351161,False,2021-04-16 19:11:04,2025-08-10 09:44:20
3,PF,Dr. João Aparecida,nan,21754824560,nan,dr.jo.o.aparecida.3@example.com,55081961849593,True,2022-07-13 09:24:05,2025-08-29 18:44:03
4,PJ,Aparecida e Filhos Ltda,Vargas da Rocha S/A,61265639000193,316475255,aparecida.e.filhos.ltda.4@example.com,5541992832764,True,2023-06-25 23:00:38,2026-06-30 06:11:38
5,PF,Hellena Rodrigues,nan,93400262684,nan,hellena.rodrigues.5@example.com,5503905641395,True,2020-07-29 03:14:39,2020-08-07 02:26:40
6,PF,Theo Gonçalves,nan,429721404,nan,theo.gon.alves.6@example.com,55024923884969,True,2022-12-06 20:43:52,2023-02-22 04:50:26
7,PF,Maria Cecília Câmara,nan,99767757171,nan,maria.cec.lia.c.mara.7@example.com,55087910122691,True,2024-04-23 19:44:19,2026-01-14 07:04:43
8,PF,Maria Helena Peixoto,nan,15181443060,nan,maria.helena.peixoto.8@example.com,55084980184514,True,2022-11-20 00:43:52,2025-01-25 00:11:35
9,PF,Eduarda Marques,nan,42188462009,nan,eduarda.marques.9@example.com,5548928148932,True,2021-11-09 07:41:03,2023-08-24 19:45:20
10,PF,Sr. Vitor Hugo Vasconcelos,nan,31005262446,nan,sr.vitor.hugo.vasconcelos.10@example.com,5509957015430,True,2022-03-20 14:47:20,2024-12-13 23:49:54
11,PJ,Nunes Barros S/A Ltda,Azevedo,30591520000187,822782489,nunes.barros.s.a.ltda.11@example.com,5538934657871,True,2025-12-26 06:00:47,2026-01-25 18:03:52
12,PF,Henry Gabriel Azevedo,nan,48171305636,nan,henry.gabriel.azevedo.12@example.com,5509983930103,True,2025-11-23 08:02:39,2026-01-08 13:45:22
13,PJ,Andrade Ltda.,nan,95941359000170,183473829,andrade.ltda.13@example.com,5573976311656,True,2022-12-30 13:12:43,2023-11-04 14:52:19
14,PJ,Martins ME,nan,23062378000115,ISENTO,martins.me.14@example.com,5572962473178,True,2026-05-07 03:02:50,2026-09-15 01:08:44
15,PJ,Aragão e Filhos Ltda,Borges S.A.,3855975000190,267736026,arag.o.e.filhos.ltda.15@example.com,5564974687234,True,2021-01-14 15:47:55,2023-08-24 18:40:07
16,PF,Benjamin Pacheco,nan,21166696189,nan,benjamin.pacheco.16@example.com,5505900978820,True,2022-08-27 21:48:54,2025-02-13 01:04:07
17,PJ,Cirino S/A S.A.,Rocha S.A.,56132960000160,619399091,cirino.s.a.s.a.17@example.com,5599985435346,True,2022-04-02 12:46:14,2024-11-29 13:16:07
18,PJ,Rios Ramos Ltda.,Dias,21989622000164,107991183,rios.ramos.ltda.18@example.com,5542951354278,True,2026-11-05 09:22:36,2026-12-21 05:58:33
19,PF,Sra. Vitória Albuquerque,nan,2524336107,nan,sra.vit.ria.albuquerque.19@example.com,5541924118244,True,2021-04-27 19:48:55,2021-08-17 19:52:09
20,PJ,Silva Fernandes S.A.,Montenegro,88142597000150,740164005,silva.fernandes.s.a.20@example.com,55042978680112,True,2024-11-09 22:42:24,2025-07-06 19:31:09
21,PF,Ana Carolina Freitas,nan,44728487164,nan,ana.carolina.freitas.21@example.com,5582962045053,True,2026-11-06 05:23:26,2026-12-10 17:37:29
22,PF,Isadora Rios,nan,98235269740,nan,isadora.rios.22@example.com,5558969232260,True,2025-05-23 08:00:13,2026-10-20 18:31:13
23,PF,Lucas Gabriel Viana,nan,69638060638,nan,lucas.gabriel.viana.23@example.com,5534921607337,True,2021-05-02 05:55:24,2025-04-14 15:47:45
24,PF,Dr. Ian Câmara,nan,55512236636,nan,dr.ian.c.mara.24@example.com,5536954145868,True,2024-11-14 22:50:28,2025-07-30 14:24:33
25,PF,Sr. Danilo da Luz,nan,98582268106,nan,sr.danilo.da.luz.25@example.com,55094901965569,True,2025-06-16 08:27:29,2026-11-19 21:34:27
26,PJ,Gomes - EI EIRELI,da Cunha Aparecida e Filhos,91478345000100,608835615,gomes.ei.eireli.26@example.com,5551948465648,True,2023-09-09 13:17:51,2024-05-09 16:10:57
27,PF,Gael Leão,nan,99077203800,nan,gael.le.o.27@example.com,5529994680443,True,2020-07-18 23:36:11,2021-07-15 01:04:54
28,PJ,Viana ME,nan,4761354000100,995777387,viana.me.28@example.com,55014989513433,True,2022-08-17 12:55:05,2026-03-03 05:18:14
29,PJ,Alves Aparecida S.A.,Pimenta,76540303000169,176936763,alves.aparecida.s.a.29@example.com,55001963287083,True,2020-07-17 20:01:56,2026-09-14 09:26:43
30,PF,Rafael Carvalho,nan,98403535198,nan,rafael.carvalho.30@example.com,55088995798687,True,2021-02-24 12:52:30,2022-03-02 08:53:01
31,PJ,Souza Melo - ME,nan,20167512000154,434873471,souza.melo.me.31@example.com,5534955812236,False,2025-07-25 21:55:33,2026-01-15 20:07:07
32,PJ,Santos Cunha S/A S.A.,Jesus,60134360000108,587603669,santos.cunha.s.a.s.a.32@example.com,5596970546688,True,2022-01-17 17:43:59,2023-09-16 18:42:39
33,PJ,Mendonça Câmara Ltda.,Mendonça,26497722000197,065627298,mendon.a.c.mara.ltda.33@example.com,5569990162720,True,2022-10-17 09:00:22,2023-12-20 18:49:05
34,PJ,Garcia ME,Cunha,12720833000106,755646417,garcia.me.34@example.com,5580953100330,True,2023-01-01 13:32:59,2023-07-06 17:43:59
35,PJ,da Costa Cardoso - ME,nan,89402136000131,193745299,da.costa.cardoso.me.35@example.com,5524919049663,True,2026-12-22 19:09:09,2026-12-30 13:00:47
36,PJ,Pastor e Filhos S.A.,Caldeira Sampaio Ltda.,80054696000178,919058651,pastor.e.filhos.s.a.36@example.com,5550967165726,True,2020-02-01 19:31:11,2021-06-09 23:12:48
37,PF,Vicente Rezende,nan,77164512949,nan,vicente.rezende.37@example.com,5598977694531,True,2024-08-18 03:54:29,2025-09-26 20:53:50
38,PJ,Machado ME,nan,73208006000122,379965075,machado.me.38@example.com,55073954549480,True,2026-08-04 23:16:14,2026-12-24 03:18:38
39,PJ,Barros da Costa e Filhos S.A.,Mendonça,53669193000134,837770143,barros.da.costa.e.filhos.s.a.39@example.com,5534995788568,True,2021-12-01 04:42:01,2024-05-07 20:34:18
40,PF,Dr. Rafael da Mata,nan,26739473889,nan,dr.rafael.da.mata.40@example.com,5543913518233,True,2026-11-26 19:15:46,2026-12-14 08:34:14
41,PF,Sra. Kamilly Silveira,nan,63579866311,nan,sra.kamilly.silveira.41@example.com,5589941343524,True,2024-07-01 12:27:02,2026-01-07 20:34:45
42,PF,Vitor Cardoso,nan,48553909689,nan,vitor.cardoso.42@example.com,5500984271094,True,2023-10-04 15:21:52,2026-09-22 05:05:21
43,PJ,Mendes S.A.,Fernandes,60666029000139,204711671,mendes.s.a.43@example.com,5502929413186,True,2025-12-31 17:28:32,2026-07-08 02:01:09
44,PJ,Vasconcelos Moreira - ME,Macedo,65657070000162,496499091,vasconcelos.moreira.me.44@example.com,5534912328120,True,2022-06-28 22:25:56,2023-04-27 14:16:14
45,PF,Milena Sales,nan,10937233943,nan,milena.sales.45@example.com,5574903447134,True,2023-10-04 16:24:17,2025-07-09 14:40:23
46,PF,Fernanda Lima,nan,50760729026,nan,fernanda.lima.46@example.com,5583924210249,True,2025-09-10 07:45:41,2026-02-26 10:21:31
47,PJ,Macedo ME,Martins e Filhos,73736641000182,464887719,macedo.me.47@example.com,5565994013990,True,2022-04-05 13:50:55,2024-09-15 22:01:29
48,PF,Juliana Oliveira,nan,37888454739,nan,juliana.oliveira.48@example.com,5527987429671,True,2023-02-27 19:42:25,2024-03-16 17:23:21
49,PJ,Ferreira Ltda,nan,16325767000120,655125674,ferreira.ltda.49@example.com,5580971545168,True,2024-10-04 04:51:43,2026-11-03 11:02:49
50,PJ,Ribeiro - EI Ltda,nan,19022427000119,760385977,ribeiro.ei.ltda.50@example.com,5534982477109,True,2025-02-04 20:28:21,2026-03-28 07:36:38
51,PF,Emanuel das Neves,nan,6465786931,nan,emanuel.das.neves.51@example.com,5508961317127,True,2024-03-20 12:35:08,2024-08-26 05:42:36
52,PJ,TBD,Leão,78182247000163,773782639,moraes.eireli.52@example.com,5521946584044,True,2023-05-05 01:46:47,2025-10-31 21:18:31
53,PF,Rebeca Cassiano,nan,49528407862,nan,rebeca.cassiano.53@example.com,55087955886753,True,2021-05-23 12:58:09,2025-10-10 09:51:29
54,PF,Srta. Maria Isis da Conceição,nan,97604667830,nan,srta.maria.isis.da.concei.o.54@example.com,5505976627028,True,2021-12-16 16:28:51,2025-07-03 02:07:17
55,PF,Luísa Brito,nan,78656050052,ISENTO,lu.sa.brito.55@example.com,55018970262174,True,2026-10-16 11:30:30,2026-10-26 04:44:25
56,PF,Dr. Bruno Farias,nan,22194196226,nan,dr.bruno.farias.56@example.com,5565978091343,True,2020-11-22 05:07:56,2021-03-10 05:52:00
57,PF,Srta. Maya Brito,nan,92764905742,nan,srta.maya.brito.57@example.com,5572940050455,True,2021-03-24 11:35:45,2023-08-06 12:02:35
58,PF,Clara da Cruz,nan,10787972428,nan,clara.da.cruz.58@example.com,5569922219693,True,2023-09-24 08:27:41,2026-07-10 18:59:25
59,PF,Cecília da Conceição,nan,35703947359,nan,cec.lia.da.concei.o.59@example.com,55047940748217,True,2020-06-16 17:43:19,2025-03-10 08:56:25
60,PJ,Pastor ME,Porto,13299018000188,647436713,pastor.me.60@example.com,5595994406409,True,2024-05-28 13:28:25,2026-04-21 15:38:23
61,PF,Ana Julia Pereira,nan,59376607066,nan,ana.julia.pereira.61@example.com,55043995339421,True,2021-10-01 06:26:07,2023-03-01 08:34:01
62,PF,Ana Cecília das Neves,nan,9300997530,0,ana.cec.lia.das.neves.62@example.com,55009952145623,True,2025-05-14 04:42:14,2026-04-14 16:53:18
63,PJ,Viana Nogueira Ltda.,nan,42242226000149,884247451,viana.nogueira.ltda.63@example.com,55012936851604,True,2020-11-14 00:01:13,2022-02-20 03:24:41
64,PJ,Marques Ltda.,Pacheco,82843952000131,651370985,marques.ltda.64@example.com,5531974612004,True,2021-06-01 13:27:33,2022-05-09 21:30:32
65,PF,Bruna Brito,nan,64352107999,nan,bruna.brito.65@example.com,5582967586926,True,2024-01-17 13:19:38,2025-11-04 15:38:27
66,PF,Beatriz Mendonça,nan,50569940222,nan,beatriz.mendon.a.66@example.com,5564905377351,False,2021-01-15 12:02:13,2021-12-10 10:31:10
67,PF,Maria Eduarda Nogueira,nan,41518438415,nan,maria.eduarda.nogueira.67@example.com,5506943171390,True,2025-08-06 03:53:40,2026-04-04 15:14:34
68,PF,Lucas Gabriel da Cruz,nan,15986604628,nan,lucas.gabriel.da.cruz.68@example.com,55093918393352,True,2024-05-05 10:14:24,2026-02-13 11:43:52
69,PF,Agatha da Mota,nan,14754808061,nan,agatha.da.mota.69@example.com,55028942102053,True,2026-07-19 17:14:19,2026-09-07 21:39:39
70,PJ,Almeida Ltda,da Luz Aragão S.A.,3571767000169,681177589,almeida.ltda.70@example.com,5578939084700,True,2026-03-08 04:20:43,2026-10-14 01:10:00
71,PF,Maria Liz Lima,nan,85708243945,nan,maria.liz.lima.71@example.com,5577911592124,False,2024-08-31 09:28:54,2025-09-12 00:30:32
72,PJ,Garcia Ltda,Marques,55180747000160,896118367,garcia.ltda.72@example.com,5565976615654,True,2020-10-05 22:05:07,2021-11-22 16:20:20
73,PF,Sr. Renan Azevedo,nan,14069097856,nan,sr.renan.azevedo.73@example.com,5511961528098,True,2023-10-28 10:17:27,2026-04-29 00:31:22
74,PJ,Rios S.A.,Jesus Ltda.,73236180000189,604945198,rios.s.a.74@example.com,5527931585149,True,2024-07-06 16:02:38,2025-12-13 06:28:19
75,PJ,Lima Novais - EI EIRELI,Pereira e Filhos,71828121000174,402445502,lima.novais.ei.eireli.75@example.com,55096912018366,True,2024-02-04 17:03:13,2024-12-29 20:12:13
76,PF,Manuela Castro,nan,37997684832,nan,manuela.castro.76@example.com,5545999102290,True,2025-05-25 02:10:23,2025-07-14 21:42:10
77,PF,Anna Liz da Mata,nan,54768640834,nan,anna.liz.da.mata.77@example.com,55067997643815,True,2020-09-13 20:14:15,2024-09-23 09:25:02
78,PF,Brenda da Paz,nan,50346840716,nan,brenda.da.paz.78@example.com,5578940369003,False,2021-01-24 03:35:02,2022-01-05 06:21:04
79,PJ,Cunha EIRELI,Teixeira da Cunha Ltda.,43256953000128,510762268,cunha.eireli.79@example.com,5588951606071,True,2024-09-27 06:57:27,2026-08-07 01:47:09
80,PF,Dr. Nathan Santos,nan,22085644562,nan,dr.nathan.santos.80@example.com,5541960529751,True,2021-10-25 12:40:02,2026-01-22 18:23:58
81,PF,Bianca da Cruz,nan,37192356530,nan,bianca.da.cruz.81@example.com,5596981645352,True,2024-09-06 15:20:02,2024-09-24 17:30:26
82,PF,Thomas Porto,nan,72009558928,nan,thomas.porto.82@example.com,5588935523124,True,2023-08-07 18:40:24,2024-07-01 06:08:10
83,PF,Erick Pereira,nan,72551787157,nan,erick.pereira.83@example.com,55012977997995,True,2021-09-26 08:57:41,2023-09-28 08:56:51
84,PF,Luara Cassiano,nan,65486237545,nan,luara.cassiano.84@example.com,55017974490581,True,2021-01-31 08:48:52,2022-02-03 10:14:37
85,PJ,Martins ME,Andrade,26127899000100,054119986,martins.me.85@example.com,55098907935978,True,2022-04-02 02:44:13,2022-06-07 04:51:25
86,PJ,Araújo Machado S/A EIRELI,Silva,21783172000159,182037788,ara.jo.machado.s.a.eireli.86@example.com,5525954665905,False,2024-10-20 17:15:33,2025-01-12 12:05:03
87,PJ,Farias S/A S.A.,nan,46391792000173,864492519,farias.s.a.s.a.87@example.com,55054962914865,True,2024-02-13 16:27:43,2026-02-22 02:31:26
88,PF,Vinicius Borges,nan,57654529490,nan,vinicius.borges.88@example.com,5585905423573,True,2026-05-19 17:39:45,2026-10-04 16:01:07
89,PJ,Carvalho Cassiano S/A EIRELI,nan,33944417000161,418880592,carvalho.cassiano.s.a.eireli.89@example.com,5562922927065,False,2026-04-15 00:46:24,2026-06-18 01:04:52
90,PJ,Macedo Pimenta Ltda.,da Conceição,82213187000176,834735977,macedo.pimenta.ltda.90@example.com,5568986239240,True,2025-03-21 08:05:27,2025-07-21 06:22:02
91,PF,Rafaela Freitas,nan,29834420390,nan,rafaela.freitas.91@example.com,5518914124782,True,2026-11-20 22:03:36,2026-12-18 05:08:58
92,PF,Ayla Câmara,nan,88622294021,nan,ayla.c.mara.92@example.com,55050960685361,True,2025-12-09 02:10:12,2026-04-23 21:43:26
93,PF,Sr. Arthur Dias,nan,91937535940,nan,sr.arthur.dias.93@example.com,5552920472779,True,2020-11-17 15:00:34,2022-12-19 09:05:14
94,PF,Bruno Almeida,nan,55007359343,0,bruno.almeida.94@example.com,5532989861434,True,2025-03-18 22:33:07,2026-09-28 10:31:32
95,PF,Benicio da Costa,nan,19408955617,nan,benicio.da.costa.95@example.com,5597911798089,True,2020-05-17 11:13:02,2020-07-29 15:18:41
96,PF,Diego da Rocha,nan,86868027451,nan,diego.da.rocha.96@example.com,5509953962185,True,2021-03-28 06:55:07,2023-05-13 19:44:53
97,PF,Vinicius Nogueira,nan,98118375110,nan,vinicius.nogueira.97@example.com,5588906706540,True,2020-01-17 18:52:16,2020-07-11 15:37:58
98,PF,Sr. Luiz Felipe da Costa,nan,32622897103,nan,sr.luiz.felipe.da.costa.98@example.com,5595920585277,True,2023-05-20 23:14:59,2025-06-25 04:37:37
99,PF,Emilly Carvalho,nan,76534501139,nan,emilly.carvalho.99@example.com,5570943030548,True,2025-07-02 09:28:17,2025-09-27 02:35:23
100,PF,Ísis Melo,nan,73061489665,nan,sis.melo.100@example.com,5503945054156,True,2026-11-15 18:30:34,2026-11-25 20:54:11
101,PF,Maysa Gomes,nan,6743520098,nan,maysa.gomes.101@example.com,5527975841616,True,2024-08-19 02:48:35,2026-01-18 03:16:08
102,PF,Emilly Nogueira,nan,43677417538,nan,emilly.nogueira.102@example.com,5551915447962,True,2022-12-26 01:27:31,2026-12-03 00:24:25
103,PF,Sra. Marcela Machado,nan,33783685940,nan,sra.marcela.machado.103@example.com,5559964016582,True,2021-10-26 17:40:21,2021-10-29 21:52:32
104,PJ,Casa Grande - EI Ltda,Andrade,93877006000122,213556909,casa.grande.ei.ltda.104@example.com,55075957192856,True,2021-03-10 12:02:56,2021-04-21 15:53:18
105,PF,Dr. Josué Camargo,nan,44792697034,nan,dr.josu.camargo.105@example.com,5527986814473,True,2023-02-12 19:16:46,2026-12-24 21:39:48
106,PF,Laura Sales,nan,84729453247,nan,laura.sales.106@example.com,55031921727155,True,2026-08-29 01:50:18,2026-12-14 20:30:26
107,PJ,Novaes - EI S.A.,da Rosa,7475766000171,225831323,novaes.ei.s.a.107@example.com,55005989578291,True,2022-11-09 12:53:31,2025-12-02 12:20:01
108,PF,Leonardo Gonçalves,nan,9928468036,nan,leonardo.gon.alves.108@example.com,55086969125177,True,2022-02-01 20:41:55,2022-08-14 22:55:26
109,PJ,Cardoso ME,Vargas Cardoso - ME,63659351000129,801824225,cardoso.me.109@example.com,5558941438424,True,2020-11-01 02:51:34,2023-11-26 10:20:05
110,PF,Yasmin Borges,nan,88171782337,nan,yasmin.borges.110@example.com,5529992299590,True,2025-12-07 12:22:24,2026-06-16 10:07:11
111,PF,Bruno Aparecida,nan,15722301779,nan,bruno.aparecida.111@example.com,5543996907844,True,2022-06-13 04:06:27,2026-02-04 14:42:53
112,PJ,da Cruz ME,nan,70067688000102,647102767,da.cruz.me.112@example.com,55035992555625,True,2026-02-09 08:57:05,2026-06-06 07:47:05
113,PJ,Dias S.A.,Campos,30019420000180,473210469,dias.s.a.113@example.com,5532959532787,True,2026-01-02 23:52:21,2026-06-24 18:39:19
114,PJ,das Neves S.A.,Almeida,79525501000141,168733950,das.neves.s.a.114@example.com,5547997480162,True,2023-08-07 11:10:42,2026-10-05 21:11:26
